"ind","obs","age","length","BHDF"
35,4,13.75,2.881987578911,0.938888458045192
35,5,13.75,2.9130375439594,0.950548679086512
35,6,13.75,2.90428848952914,0.971109791124895
19,1,10.3333333333333,2.79028648675824,0.892657316534056
19,2,10.3333333333333,2.8460453641149,0.869226761073228
19,3,10.3333333333333,2.76813157049331,0.868823412713746
19,4,10.3333333333333,2.74600000309336,0.899349995537287
19,5,10.6666666666667,2.77128726950942,0.915028127271554
19,6,10.6666666666667,2.94474418815999,1.01925819448987
19,7,10.6666666666667,2.77774647965507,0.901921912016617
19,8,10.6666666666667,2.86995624397731,0.903586452969679
19,9,11.1666666666667,2.80140346749967,0.919924255403326
19,10,11.1666666666667,2.73948099276477,0.91887156210383
129,1,10.6666666666667,2.96037733751031,0.910028144432323
129,2,10.8333333333333,3.01434444112382,0.955529068646973
